review_id,app_id,review_text,label
138040975,1622800,"Chicken with a Dream.
Jump man Maker but for the Princess of Hylium.",1
138042516,1494420,absolute bug filled mess,0
138041794,1494420,"has potential.
RN the balance is horrible tho",1
138040898,1494420,"All the negative reviews that are saying that this game needs more, it literally came out 6 days ago, there is ton of potential for this game, and for only $20, in it's current state, is still playable. Give it time before leaving a bad review.",1
138040789,1494420,"I would recommend this games as it has so much potential and it's just getting started.

There are obviously bugs in the game... not the alien kind.

The Good:-
1) Great theme.
2) Interesting fights due to caverns/canyons and build sprawling desert plains
3) Vehicle play is fun
4) Good range of vehicle types, and no hard rock paper scissors.

Bugs/issues include:-
1) Harvesters getting stuck on anything that isn't flat...
2) Harvesters getting stuck trying to enter the refinery.
3) Ordering in Strat mode to attack causes your units to approach to point blank.
4) AI infantry shoot you from a million miles away, they rarely hit.
5) Aliens are too easy to wipe out with a car rush due to their lack of ranged early game and slow speed melee units.
6) Infantry need transports (I've heard that this is coming), please make it so not all die if transport pops en-route...
7) Left clicking on radar map (bottom left) whilst having units selected, so that you can pan your map there whilst having units selected... causes you to deselect those units.
8) Harvester speed feels so slow... especially with issues like described in 1+2.
9) AI behaviour in strat mode (commander) feels like it just sends units on patrol rather than building any effective force.

Requested features:-
1) Vehicle customisation - changing or upgrading weapon from default... maybe ammo upgrade for better penetration in exchange for slower ROF for player vehicles. (Using player requisition points to purchase).
2) Player ordered vehicles, that could be delivered to the front should yours get destroyed, obviously making it destructible as it is being delivered...
3) Commander abilities, Radar ping, supply drop, vehicle drop.
4) Grenades and infantry sidearm (either pistol or PDW).
5) Building range indicator
6) Transports and APC's...
7) Air vehicles",1
138040776,1494420,"At the beginning this game can be slow. But in late you will find yourself in an EPIC MOVIE. 

I wanted to refund this one after 2 hours, but I'm glad I didn't.",1
138042670,2337630,do not buy this shit,0
138040794,2337630,"I decided to give this game a crack today. I will say, it is lots and lots of fun. Despite a handball going 50 metres up the field, tackling your opponent for holding the ball just for them to get up and kick a goal, and also for your own player to mark the ball just to get tackled for holding the ball, I will give this game the benefit of the doubt as I know they are patching things up as I type this review. If you buy this game, limit your expectations. It's fun, but still far from perfect",1
138042950,1742020,"A very fun fighter featuring some of the Hololive girls.  Easy to pick up and play.  All of the girls have different fighting styles.  Single player is fun, with an arcade mode and a story mode, but the online play is a bit buggy.  Devs are working on it, I think.  Best with a controller, like many fighting games.",1
138042673,1742020,This game is really good.,1
138042308,1742020,"very fun

if you're a hololive fan you'd love this

Only bad thing i feel is that the matches are too short",1
138042253,1742020,"Even tho i never interested in hololive, this fighting game is one of the best i have ever played and one that is much better than other modern FGs. Highly recommended.",1
138041847,1742020,suisex,1
138041696,1742020,A,1
138041651,1742020,"its free...

need i say more ?",1
138041628,1742020,"Hololive, fighting ...free?!
Best release of 2023, thank you guys for making such a great game!",1
138041551,1742020,I want to get shot by Botan IRL please,1
138041433,1742020,spam heavy attack and random directions on botan to win every game :thumbsup:,1
138041368,1742020,suiseggs,1
138042585,2322660,Good game 6B!,1
138043113,1940340,This is definitely the darkest dungeon II,1
138043020,1940340,with my luck it could be raining titties and I'd still look up and catch a dick,1
138042907,1940340,"A worthy successor to darkest dungeon 1, and one crafted in a deliberately different fashion in order to not obsolete the first game, as a result leaving both games distinct from one another and both with their own aspects that could improve upon or dimish the original darkest dungeon experience depending on who you are.

In my personal opinion I prefer the second game. It streamlines many aspects of the game by cutting down on grind, improving combat to be more tactical and while I enjoyed the art direction of the first game, this one can be downright jaw-dropping.

In particular I find there is more depth to this game's combat and I also enjoy the themes of the game's story more, so my personal recommendation over these two great games is the second one. (Especially for newcomers to the two games, I think darkest dungeon 2 will be easier to get into.)

Overall an incredible game and a huge congratulations to everyone at red hook for this accomplishment, and It will only improve more as time goes on and the game is updated more as darkest dungeon 1 was.
",1
138042873,1940340,"It feels like they took Darkest Dungeons, removed everything that made that game unique in its class, and pushed out a generic roguelite where nothing really matters in the long run besides you getting the cross-run currency to make your guys only marginally better.

There's also no dungeons in darkest dungeons 2.",0
138042854,1940340,"The first thing you need to know about Darkest Dungeon 2 is that it's NOT its predecessor. While the tactical turn-based combat and unique atmosphere are still there, the structure of the game is entirely different. You will not crawl through any dungeons. You will not permanently lose heroes. You will not spend tens of hours grinding for resources and experience. And, I promise you if you approach with an open mind, chances are high you will not miss any of that.

[b][Core gameplay loop][/b]
The theme of Darkest Dungeon 2 is that of a grueling journey through a bleak world on the brink of collapse. You build a team of four heroes and drive your stagecoach through up to 3 regions composed of nodes connected by branching paths until you either reach the Mountain, give up or die. You will die a lot. The game is very challenging, but fair. When you die it's because you made a mistake and through repeated failure you learn and improve, making for an unforgettably gratifying feeling when you finally master it. The further you get on your journey, the more candles you are awarded with. Flame is synonymous with hope in Darkest Dungeon and candles are valuable currency you can spend at the Altar of Hope to unlock a variety of upgrades that help you on all your future runs. 

As your heroes travel and fight side by side, they develop an affinity for each other depending on the choices you make and the stress your heroes suffer during combat. This affinity then culminates in positive or negative relationships which affect the efficacy of your team for one region. Your stagecoach needs to be maintained, the Flame must be kept alive and bright, your heroes need to be healthy both physically and mentally. The further you get in a region, the harder it will get not to fail on at least one front, which makes long-term planning as vital to your success as the combat tactics you employ. After each region awaits a stop at the inn, allowing you to catch a breather and prepare for the next one or collect your spoils and retire.

[b][Combat and gameplay variety][/b]
The tactical turn-based combat is fast, fluid and very satisfying. Compared to DD1 it's a lot more deterministic with fewer rng elements and it gives you a lot of agency and room for meaningful decision-making. If your big hit has a chance to miss because your character is Blinded, you may remove the negative token with a consumable item to guarantee a hit, use a non-offensive skill and let an ally cure you later, or risk it and attack anyway. 

On the whole the gameplay is complex with lots of little things factoring into your success. Every choice you make has impact and sometimes its effects may reverberate even hours later in subtle ways. The character building in this game is top notch. When I first discovered the full variety of heroes and their skills and subclasses, trinkets and combat items, inn items, quirks, diseases, altar upgrades, memories, stagecoach upgrades and pets, I felt like a poor and starving university student who just came upon a giant free street-food market. My mind was racing with all the possible synergies. The game is reasonably well balanced (though not without some problems), the sheer amount of combinations is tremendous and the vast majority of them are perfectly viable. Enemies are creative and your ability to adapt is always rewarded. Itemization is fantastic, most equipment changes the way a character plays rather than just providing flat buffs and the game cleverly discourages hoarding consumables.

I must also mention how quick and smooth the game feels. Turn-based games often suffer from pacing problems and everything takes forever, but DD2 has never felt like a slog to me. Repetition inevitably sets in after some time as there are only so many regions and enemies in the game, but with the sheer amount of things to experiment with you'll hardly notice. If you enjoy turn-based games or roguelites, this is a treat.

[b][Art, visuals and sound][/b]
The presentation level of Darkest Dungeon 2 is out of this world. The art, animation and sound design team have done a stellar job. The character animations are a treat for the eyes, responsive, sharp, full of detail and care. I still catch myself browsing through a hero's skills only to see them gracefully transition between idles or appreciating how every creature on the brink of death changes pose to a battered, exhausted slouch. The soundtrack by Stuart Chatwood is one masterpiece after another, it would deserve its own review and I strongly encourage you to give it a listen and support him even if the game itself is not for you. Every moment you spend with the game will be narrated by the irreplaceable Wayne June. The sound effects are solid, the art style is consistent and beautifully executed, the world's biomes and inhabitants tell stories through their appearance and sound alone. All of this adds up to an immersive, memorable atmosphere that is simultaneously bleak and hopeful.

[b][Story][/b]
The game is split into 5 acts known as Confessions following the story of the Academic (narrator) and his Protegé who were at the epicentre of the spreading calamity. Each hero also has a personal narrated backstory which, much like the main story, focuses on failure and regret. The emotions are magnified tenfold by the utterly brilliant narrator. In typical Darkest Dungeon fashion most of the story is told in short, narrated segments or via the environment and its inhabitants. Expect no dialogue or novel-like storytelling. Your heroes' situational barks, quirks and relationships as well as your choices make each journey its own self-contained little story.

[b][Technical state][/b]
The devs have maintained a very high standard of quality even throughout Early Access. Nothing goes out that hasn't been tested and bugs have been very rare. Optimization could be a little better as people have on occasion complained about frame drops and poor performance, but you will likely only feel this if you barely meet the modest recommended specs.

[b][Amazing devs][/b]
Early Access launch was met with lots of scepticism and poor reviews. I can say without exaggeration that what the people at RedHook have done with the game since then is a masterclass in developing an Early Access title, they listened thoroughly to player feedback and every change they made was absolutely spot on. This is a studio full of highly competent people who truly care about their game and respect your voice. With the amazing work they've done over the last year and a half I can't wait to see this game after another year or two of new content.

[b][Summary][/b]
Darkest Dungeon 2 is an outstanding tactical rougelite rpg that stays true to the spirit of its predecessor while having its own distinct identity, with gameplay that can make anyone lose track of time, a metric ton of variety and replayability, beautiful art and an immersive atmosphere unlike any other game out there. Whether you're a fan of tactical rpgs, roguelites, DD1 or you simply stumbled upon this review by accident, I can only recommend you give this game a try.",1
138131048,2086140,"How much value does the affirmation of some random review from some stranger have?

I don't know but I can vouch that this is a cool and active developer with cool gameplay.

Some issues in the current version exist such as slowdown and sound stacking but that's standard for this genre and will likely be improved upon in the future anyway.",1
138131488,1294810,"hey beat the game with the robot girl.  pretty bad game.  nothing even close to Prey as i was hoping.  i am shocked arkane released this with they name on it.  got the game free with my gfx card, i would never pay for this game.  you probably shouldnt either",0
138132010,1669000,"    I bought Age of Wonders: Planetfall years ago. Though I didn't spent much time in it, I considered it as an inspiring game with great potential. So I bought Age of Wonders 4 as soon as it was released and recommended my friend to do so, which has been the worst choice I've made this month (maybe this year). I felt guilty to have him waste money on a bunch of shit.
    Briefly speaking, I've spent around 7 hours in this game, which of course makes it hard to request a refund. But my actual play time is less than 50%, most of my time is wasted on rejoining a multiplayer game, waiting for others to battle with fucking goblins, and annoying so-called ""internal errors"". All these things made me extremely exhausted. I hate my competitive character, cause it forces me to struggle with terrible servers and stupid game features.
    I'm not among those deep gamers, but at least I'm willing to pay for those great games. If I could enjoy it, I don't care whether there is a discount or not. This game offers me with only pain instead of pleasure. I regret it now, I could have used the money to dine out, to buy my mother a hat, even to subscribe my favorite vtuber. But see what happens now: I sit in front of my screen in the most saddest position, drown in tremendous sorrow wondering if I'm fooled by the game makers. I'm a typical 21st century loser - cheated and wallet emptied by game companies.
    I hope to get my money back, even thought the time ruined by the game would never come back. This is the first time I fought back against those ghastly games. I may fail, but never surrender. As Ernest Miller Hemingway said, a man can be destroyed but not to beat.
",0
138131606,1669000,Fantastic game.,1
138130892,1669000,good gam,1
138130605,1669000,"A wonderfully game in a great series, a great strategy games along  with Disciples Series and Heroes Might And Magic Series!",1
138130413,1669000,"Beautiful, detailed, and lots of fun.",1
138131668,1566200,"I made your mom so wet, Trudeau had to deploy a 24-hour national guard unit to stack sandbags around my bed.",1
138131314,1566200,Most fun I've had playing hockey since Wayne Gretzky's 3D. Just the breath of fresh air that the subgenre needed.,1
138130911,2387950,"Fun retro style arcade action platformer. Reminds me of old licensed platformers that were loosely based on the source material, in a lighthearted way. I enjoy this take on Kalevala where Väinämöinen just beats the crap out of everyone.
I like the chaotic vibes, it's very fast paced. Music is nice too. Level and boss design is pretty lackluster, especially in later stages. The game gives you a bunch of fun tools for moving around but doesn't really utilise them (did you know you can jump on arrows to climb walls? Me neither!). It kinda gives the game an amateurish charm though, further enhancing the old school vibes.

Some complaints:
Why does money have invincibility frames when spawning AND flies all over the place? A lot of cash just flies off somewhere where you can't collect it and it's generally annoying to go fetch some coins that flew really far away.
Please let me rebind the keys for changing spells and weapons.
",1
